sample_days,total_return,annual_return,annual_volatility,sharpe_ratio,max_drawdown,calmar_ratio,win_rate,trade_rate,avg_abs_position,strategy,family
242,0.10706862739283696,0.10706862739283696,0.03609614070821944,2.836443670379361,-0.0129441366321833,8.27159280184279,0.21487603305785125,0.49586776859504134,0.49586776859504134,enh_r1_ma5_trend_only,trend_filter
242,0.07886624232929762,0.07886624232929762,0.02760434197486409,2.7641042858456863,-0.00969823057201702,8.132023851531834,0.12396694214876033,0.22727272727272727,0.22727272727272727,enh_r12_ma40_trend_r1_abs,trend_filter
242,0.05748339103144606,0.05748339103144606,0.021101376123271422,2.6595069590330693,-0.006472491909384925,8.881183914358674,0.07024793388429752,0.1322314049586777,0.1322314049586777,enh_r1_r12_ma10_trend_r1_abs,trend_filter
242,0.07465645899425111,0.07465645899425111,0.02723700153965389,2.6574261523286014,-0.009698230572016908,7.6979463872165965,0.11570247933884298,0.256198347107438,0.256198347107438,enh_r12_ma10_trend_r1_abs,trend_filter
242,0.07214528251780594,0.07214528251780594,0.026359383103317962,2.6562402843690784,-0.016426031411543862,4.392131045549066,0.11570247933884298,0.24380165289256198,0.24380165289256198,enh_r12_ma20_trend_r1_abs,trend_filter
242,0.10801152723252172,0.10801152723252172,0.039009321824727924,2.6493109927627168,-0.020576131687242816,5.249360223500551,0.19421487603305784,0.43388429752066116,0.43388429752066116,enh_r1_ma40_trend_only,trend_filter
242,0.05232783351067072,0.05232783351067072,0.019811316776563188,2.584622308653749,-0.006472491909384925,8.084650277398861,0.06611570247933884,0.12396694214876033,0.12396694214876033,enh_r1_r12_ma20_trend_r1_abs,trend_filter
242,0.07171886574718567,0.07171886574718567,0.02716531614247124,2.5635735745970654,-0.01153165748574092,6.219302458112999,0.11570247933884298,0.22727272727272727,0.22727272727272727,enh_r1_ma5_trend_r1_abs,trend_filter
242,0.10281968481530024,0.10281968481530024,0.039256817570532454,2.5131630993394007,-0.020576131687242816,4.997036682023587,0.19834710743801653,0.4669421487603306,0.4669421487603306,enh_r1_ma30_trend_only,trend_filter
242,0.06717441366047394,0.06717441366047394,0.026193673045926204,2.49540333762703,-0.009636592253622456,6.970764342054906,0.11570247933884298,0.2768595041322314,0.2768595041322314,enh_r1_r12_ma20_trend_only,trend_filter
